date,count
Thu Apr 26 15:12:23 +0000 2018,3
Thu Apr 26 15:13:24 +0000 2018,1
Thu Apr 26 15:14:26 +0000 2018,3
Thu Apr 26 15:15:27 +0000 2018,2
Thu Apr 26 15:16:29 +0000 2018,1
Thu Apr 26 15:17:30 +0000 2018,3
Thu Apr 26 15:18:32 +0000 2018,4
Thu Apr 26 15:19:33 +0000 2018,1
Thu Apr 26 15:20:34 +0000 2018,1
Thu Apr 26 15:21:35 +0000 2018,2
Thu Apr 26 15:22:36 +0000 2018,2
Thu Apr 26 15:23:38 +0000 2018,1
Thu Apr 26 15:24:39 +0000 2018,2
Thu Apr 26 15:25:40 +0000 2018,1
Thu Apr 26 15:26:41 +0000 2018,3
Thu Apr 26 15:27:45 +0000 2018,1
Thu Apr 26 15:28:47 +0000 2018,1
Thu Apr 26 15:29:48 +0000 2018,2
Thu Apr 26 15:30:49 +0000 2018,1
Thu Apr 26 15:31:50 +0000 2018,2
Thu Apr 26 15:32:01 +0000 2018,1
Thu Apr 26 15:33:02 +0000 2018,1
Thu Apr 26 15:34:03 +0000 2018,1
Thu Apr 26 15:35:04 +0000 2018,2
Thu Apr 26 15:36:06 +0000 2018,3
Thu Apr 26 15:37:07 +0000 2018,4
Thu Apr 26 15:38:09 +0000 2018,2
Thu Apr 26 15:39:12 +0000 2018,1
Thu Apr 26 15:40:13 +0000 2018,2
Thu Apr 26 15:41:15 +0000 2018,1
Thu Apr 26 15:42:16 +0000 2018,2
Thu Apr 26 15:43:18 +0000 2018,2
Thu Apr 26 15:44:19 +0000 2018,2
Thu Apr 26 15:45:20 +0000 2018,3
Thu Apr 26 15:46:21 +0000 2018,2
Thu Apr 26 15:47:22 +0000 2018,1
Thu Apr 26 15:48:23 +0000 2018,1
Thu Apr 26 15:49:26 +0000 2018,1
Thu Apr 26 15:50:27 +0000 2018,1
Thu Apr 26 15:51:28 +0000 2018,1
Thu Apr 26 16:00:01 +0000 2018,1
Thu Apr 26 16:01:02 +0000 2018,2
Thu Apr 26 16:02:03 +0000 2018,3
Thu Apr 26 16:03:04 +0000 2018,1
Thu Apr 26 16:04:06 +0000 2018,2
Thu Apr 26 16:05:07 +0000 2018,1
Thu Apr 26 16:06:09 +0000 2018,1
Thu Apr 26 16:07:11 +0000 2018,2
Thu Apr 26 16:08:13 +0000 2018,3
Thu Apr 26 16:09:14 +0000 2018,2
Thu Apr 26 16:10:15 +0000 2018,1
Thu Apr 26 16:11:16 +0000 2018,2
Thu Apr 26 16:12:17 +0000 2018,2
Thu Apr 26 16:13:21 +0000 2018,1
Thu Apr 26 16:14:22 +0000 2018,1
Thu Apr 26 16:15:23 +0000 2018,1
Thu Apr 26 16:16:24 +0000 2018,1
Thu Apr 26 16:17:25 +0000 2018,4
Thu Apr 26 16:18:27 +0000 2018,2
Thu Apr 26 16:20:29 +0000 2018,2

