text,cnt
"RT @jay45679: ???????????? ?? ?? ??????? 
\"?????\" ?? ??? ?? ?? ???? ???? ?? ??????? ?? \"????\" ?? ??? ?? ????? ??? ?? ?? ???! 
#JusticeForGe…",100
"RT @SunRisers: Hyderabad
Look who's in the stands to support #OrangeArmy ??????
#SRHvKXIP https://t.co/7YKeUW5ob7",61
"RT @ajaxjoshi: #SRHvKXIP #ContestAlert The funnhas begin,  win vouchers and a Lloyd AC visit https://t.co/2WlHJTvwlQ now and #KhushiyanOnKa…",44
RT @RoflGandhi_: Funny fixing is on ?????... batting team doesn't want to score and fielding team doesn't want them to get out. #SRHvKXIP,39
RT @KentROSystems: Catches do win matches. Brilliant performance team. @lionsdenkxip #LivePunjabiPlayPunjabi #RedForever #SRHvKXIP #KentIPL…,30
