time_zone,total_count
New Delhi,670
Pacific Time (US & Canada),522
Chennai,261
Mumbai,173
Kolkata,59
Karachi,47
Hawaii,40
London,34
Asia/Calcutta,26
Islamabad,19
Pretoria,18
Kathmandu,18
Asia/Karachi,13
Eastern Time (US & Canada),13
Central Time (US & Canada),11
Asia/Kolkata,10
Arizona,10
Baghdad,9
Indiana (East),9
Tijuana,9
Baku,6
Abu Dhabi,5
Casablanca,3
International Date Line West,3
Atlantic Time (Canada),3
Riyadh,3
Muscat,3
Africa/Johannesburg,3
Asia/Bahrain,3
Dhaka,3
IST,2
Kuwait,2
Hanoi,2
Madrid,1
Jakarta,1
Bern,1
Auckland,1
Asia/Dhaka,1
Mountain Time (US & Canada),1
Paris,1
Ljubljana,1
Alaska,1
Hong Kong,1
Amsterdam,1
Kabul,1
Brasilia,1
Melbourne,1
Irkutsk,1
Asia/Colombo,1
